ruta,lenguaje,loc,complejidad_ciclomatica,mi,estado_mi,deuda_horas,costo_reparacion_usd,interes_anual_usd,payback_anios,roi_4_anios_porc,factor_friccion,t_clean_horas,t_real_horas,delta_t_horas,roi_ajustado_porc,modelo_calculo,tiene_datos_interes,fuente_interes
frontend/lib/presentation/screens/cursos_screen.dart,dart,2958,553,0.0,CRITICO,2218.5,66555.0,3600.0,18.49,-78.36,4.0,4.0,9.0,5.0,-85.94,dinamico,True,yaml
frontend/lib/presentation/screens/teachers_screen.dart,dart,1415,226,0.0,CRITICO,1061.25,31837.5,4320.0,7.37,-45.72,4.0,4.0,16.0,12.0,-64.72,dinamico,True,git
frontend/lib/presentation/screens/configuracion_screen.dart,dart,1356,225,0.0,CRITICO,1017.0,30510.0,2880.0,10.59,-62.24,4.0,4.0,16.0,12.0,-75.46,dinamico,True,git
frontend/lib/presentation/screens/students_screen.dart,dart,1314,188,0.0,CRITICO,985.5,29565.0,5400.0,5.47,-26.94,4.0,4.0,16.0,12.0,-52.51,dinamico,True,git
frontend/lib/infrastructure/datasources/api_datasource.dart,dart,1082,269,0.0,CRITICO,811.5,24345.0,5040.0,4.83,-17.19,4.0,4.0,16.0,12.0,-46.17,dinamico,True,git
frontend/lib/presentation/screens/materias_screen.dart,dart,1077,179,0.0,CRITICO,807.75,24232.5,2880.0,8.41,-52.46,4.0,4.0,16.0,12.0,-69.1,dinamico,True,git
frontend/lib/presentation/screens/attendance_screen.dart,dart,996,119,0.0,CRITICO,747.0,22410.0,4320.0,5.19,-22.89,4.0,4.0,16.0,12.0,-49.88,dinamico,True,git
frontend/lib/presentation/screens/users_screen.dart,dart,992,122,0.0,CRITICO,744.0,22320.0,5760.0,3.88,3.23,4.0,4.0,16.0,12.0,-32.9,dinamico,True,git
frontend/lib/presentation/widgets/sga_design_system.dart,dart,695,82,0.0,CRITICO,521.25,15637.5,1080.0,14.48,-72.37,4.0,4.0,16.0,12.0,-82.04,dinamico,True,git
frontend/lib/presentation/screens/reports_screen.dart,dart,457,44,4.54,CRITICO,322.0,9660.07,2859.3,3.38,18.4,3.65,4.0,14.59,10.59,-23.04,dinamico,True,git
backend/internal/adapter/postgres/academic_repo.go,go,422,97,0.0,CRITICO,316.5,9495.0,1050.0,9.04,-55.77,4.0,7.0,9.5,2.5,-71.25,dinamico,True,yaml
frontend/lib/presentation/screens/dashboard_screen.dart,dart,440,45,4.96,CRITICO,308.18,9245.28,3769.2,2.45,63.08,3.62,4.0,14.47,10.47,6.0,dinamico,True,git
backend/internal/adapter/http/course_handler.go,go,364,66,4.91,CRITICO,255.14,7654.14,600.0,12.76,-68.64,3.62,7.0,9.0,2.0,-79.62,dinamico,True,yaml
backend/internal/adapter/http/dto.go,go,352,22,11.32,CRITICO,224.17,6725.1,3633.6,1.85,116.12,3.16,7.0,22.14,15.14,40.48,dinamico,True,git
frontend/lib/presentation/shell/app_shell.dart,dart,344,32,10.31,CRITICO,222.53,6676.01,3750.6,1.78,124.72,3.23,4.0,12.93,8.93,46.07,dinamico,True,git
backend/internal/adapter/postgres/structure_repo.go,go,254,65,10.3,CRITICO,164.33,4929.98,468.9,10.51,-61.96,3.23,7.0,22.63,15.63,-75.27,dinamico,True,git
backend/internal/adapter/http/config_handler.go,go,256,47,12.61,CRITICO,159.72,4791.67,435.9,10.99,-63.61,3.08,7.0,21.53,14.53,-76.35,dinamico,True,git
backend/internal/app/academic.go,go,238,74,10.04,CRITICO,154.6,4637.94,2362.5,1.96,103.75,3.25,7.0,22.75,15.75,32.44,dinamico,True,git
backend/internal/adapter/http/academic_handler.go,go,247,50,12.73,CRITICO,153.81,4614.34,2172.0,2.12,88.28,3.07,7.0,21.48,14.48,22.38,dinamico,True,git
backend/internal/adapter/postgres/user_repo.go,go,185,43,17.9,CRITICO,105.64,3169.31,365.1,8.68,-53.92,2.74,7.0,19.17,12.17,-70.05,dinamico,True,git
frontend/lib/domain/entities/config.dart,dart,179,38,19.05,CRITICO,100.15,3004.52,200.4,14.99,-73.32,2.67,4.0,10.68,6.68,-82.66,dinamico,True,git
backend/internal/app/config.go,go,174,47,18.25,CRITICO,98.74,2962.16,360.6,8.21,-51.31,2.72,7.0,19.02,12.02,-68.35,dinamico,True,git
frontend/lib/presentation/widgets/notification_bell.dart,dart,181,21,21.17,CRITICO,97.43,2922.97,741.6,3.94,1.49,2.55,4.0,10.18,6.18,-34.03,dinamico,True,git
backend/internal/adapter/http/student_handler.go,go,166,27,21.63,CRITICO,88.59,2657.74,637.8,4.17,-4.01,2.52,7.0,17.63,10.63,-37.61,dinamico,True,git
frontend/lib/domain/entities/academic.dart,dart,162,31,21.45,CRITICO,86.75,2602.53,1101.6,2.36,69.31,2.53,4.0,10.12,6.12,10.05,dinamico,True,git
backend/internal/adapter/postgres/notification_repo.go,go,159,32,21.59,CRITICO,84.92,2547.7,319.5,7.97,-49.84,2.52,7.0,17.65,10.65,-67.39,dinamico,True,git
backend/internal/domain/ports_repos.go,go,152,0,26.55,CRITICO,73.64,2209.25,1839.6,1.2,233.07,2.25,7.0,15.76,8.76,116.5,dinamico,True,git
backend/internal/adapter/http/device_handler.go,go,139,25,24.5,CRITICO,70.2,2106.02,285.6,7.37,-45.76,2.36,7.0,16.52,9.52,-64.74,dinamico,True,git
backend/internal/adapter/postgres/student_repo.go,go,136,29,24.28,CRITICO,68.98,2069.5,864.9,2.39,67.17,2.37,7.0,16.61,9.61,8.66,dinamico,True,git
backend/internal/adapter/postgres/attendance_repo.go,go,137,24,24.84,CRITICO,68.72,2061.48,281.7,7.32,-45.34,2.34,7.0,16.39,9.39,-64.47,dinamico,True,git
backend/internal/adapter/postgres/deviceconfig_repo.go,go,131,30,24.69,CRITICO,65.91,1977.18,283.5,6.97,-42.65,2.35,7.0,16.45,9.45,-62.72,dinamico,True,git
backend/cmd/api/main.go,go,132,15,26.6,CRITICO,63.89,1916.78,525.0,3.65,9.56,2.25,7.0,15.75,8.75,-28.79,dinamico,True,git
backend/internal/adapter/http/attendance_handler.go,go,124,24,26.3,CRITICO,60.39,1811.64,265.5,6.82,-41.38,2.26,7.0,15.85,8.85,-61.9,dinamico,True,git
backend/internal/domain/domain_test.go,go,115,28,26.86,CRITICO,55.36,1660.71,519.0,3.2,25.01,2.24,7.0,15.65,8.65,-18.75,dinamico,True,git
backend/internal/adapter/postgres/device_repo.go,go,114,27,27.13,CRITICO,54.58,1637.3,256.8,6.38,-37.26,2.22,7.0,15.56,8.56,-59.22,dinamico,True,git
backend/internal/adapter/postgres/course_repo.go,go,113,25,27.52,CRITICO,53.65,1609.45,504.6,3.19,25.41,2.2,7.0,15.41,8.41,-18.48,dinamico,True,git
backend/internal/app/student_import.go,go,110,21,28.45,CRITICO,51.2,1535.99,242.7,6.33,-36.8,2.16,7.0,15.09,8.09,-58.92,dinamico,True,git
backend/internal/adapter/postgres/preceptor_repo.go,go,109,20,28.72,CRITICO,50.44,1513.26,480.0,3.15,26.88,2.14,7.0,15.0,8.0,-17.53,dinamico,True,git
backend/internal/adapter/http/user_handler.go,go,108,21,28.72,CRITICO,49.98,1499.37,240.0,6.25,-35.97,2.14,7.0,15.0,8.0,-58.38,dinamico,True,git
backend/internal/domain/academic.go,go,103,10,30.9,CRITICO,45.43,1362.82,871.2,1.56,155.7,2.04,7.0,14.26,7.26,66.21,dinamico,True,git
backend/internal/adapter/postgres/specialty_repo.go,go,94,15,31.56,CRITICO,40.83,1225.01,422.4,2.9,37.93,2.01,7.0,14.04,7.04,-10.35,dinamico,True,git
frontend/lib/domain/entities/time_slot.dart,dart,90,23,31.12,CRITICO,39.49,1184.76,246.6,4.8,-16.74,2.03,4.0,8.11,4.11,-45.88,dinamico,True,git
frontend/lib/domain/entities/student.dart,dart,87,27,31.08,CRITICO,38.21,1146.31,494.4,2.32,72.52,2.03,4.0,8.12,4.12,12.14,dinamico,True,git
backend/internal/adapter/postgres/timeslot_repo.go,go,89,17,32.09,CRITICO,38.19,1145.69,412.2,2.78,43.91,1.98,7.0,13.87,6.87,-6.46,dinamico,True,git
frontend/lib/domain/entities/attendance_record.dart,dart,88,17,32.26,CRITICO,37.61,1128.34,234.0,4.82,-17.05,1.97,4.0,7.9,3.9,-46.08,dinamico,True,git
backend/internal/domain/rules.go,go,83,26,31.9,CRITICO,35.77,1073.19,208.2,5.15,-22.4,1.99,7.0,13.94,6.94,-49.56,dinamico,True,git
backend/internal/app/course.go,go,80,23,32.84,CRITICO,33.73,1011.8,398.4,2.54,57.5,1.95,7.0,13.64,6.64,2.38,dinamico,True,git
backend/internal/adapter/http/excel.go,go,81,17,33.47,CRITICO,33.64,1009.25,193.2,5.22,-23.43,1.92,7.0,13.44,6.44,-50.23,dinamico,True,git
backend/internal/adapter/postgres/classperiod_repo.go,go,76,12,35.07,CRITICO,30.35,910.38,178.5,5.1,-21.57,1.85,7.0,12.95,5.95,-49.02,dinamico,True,git
frontend/lib/domain/entities/user.dart,dart,72,18,35.05,CRITICO,28.76,862.92,306.0,2.82,41.84,1.85,4.0,7.4,3.4,-7.8,dinamico,True,git
backend/internal/adapter/http/middleware.go,go,73,12,35.66,CRITICO,28.72,861.55,346.8,2.48,61.01,1.83,7.0,12.78,5.78,4.66,dinamico,True,git
backend/internal/domain/config.go,go,75,0,36.88,CRITICO,28.59,857.73,162.9,5.27,-24.03,1.78,7.0,12.43,5.43,-50.62,dinamico,True,git
backend/internal/app/student.go,go,70,21,35.06,CRITICO,27.96,838.68,357.0,2.35,70.27,1.85,7.0,12.95,5.95,10.67,dinamico,True,git
frontend/lib/domain/entities/course.dart,dart,69,24,34.87,CRITICO,27.69,830.69,516.0,1.61,148.47,1.86,4.0,7.44,3.44,61.5,dinamico,True,git
backend/internal/adapter/http/misc_handler.go,go,68,14,36.43,CRITICO,26.23,786.86,333.0,2.36,69.28,1.79,7.0,12.55,5.55,10.03,dinamico,True,git
backend/internal/adapter/http/server.go,go,68,1,38.18,CRITICO,25.04,751.19,303.6,2.47,61.66,1.72,7.0,12.06,5.06,5.08,dinamico,True,git
frontend/lib/domain/entities/class_period.dart,dart,66,10,37.4,CRITICO,24.82,744.48,181.2,4.11,-2.64,1.75,4.0,7.02,3.02,-36.72,dinamico,True,git
backend/internal/app/attendance.go,go,62,17,37.38,CRITICO,23.33,699.82,158.4,4.42,-9.46,1.75,7.0,12.28,5.28,-41.15,dinamico,True,git
backend/internal/app/timeslot.go,go,62,14,37.78,CRITICO,23.08,692.32,310.2,2.23,79.22,1.74,7.0,12.17,5.17,16.5,dinamico,True,git
frontend/lib/infrastructure/repositories/student_repository_impl.dart,dart,61,13,38.15,CRITICO,22.48,674.36,435.0,1.55,158.02,1.72,4.0,6.9,2.9,67.72,dinamico,True,git
frontend/lib/domain/entities/preceptor_assignment.dart,dart,62,6,38.85,CRITICO,22.41,672.39,167.4,4.02,-0.41,1.7,4.0,6.79,2.79,-35.27,dinamico,True,git
backend/internal/adapter/auth/auth.go,go,61,10,38.55,CRITICO,22.23,666.95,148.8,4.48,-10.76,1.71,7.0,11.96,4.96,-41.99,dinamico,True,git
backend/internal/migrate/migrate.go,go,57,13,39.14,CRITICO,20.44,613.16,144.0,4.26,-6.06,1.69,7.0,11.8,4.8,-38.94,dinamico,True,git
backend/internal/config/config.go,go,54,12,40.07,CRITICO,18.86,565.91,136.8,4.14,-3.31,1.65,7.0,11.56,4.56,-37.15,dinamico,True,git
backend/internal/domain/user.go,go,53,10,40.61,CRITICO,18.23,546.8,132.6,4.12,-3.0,1.63,7.0,11.42,4.42,-36.95,dinamico,True,git
frontend/lib/infrastructure/repositories/attendance_repository_impl.dart,dart,51,7,41.58,CRITICO,17.04,511.33,142.8,3.58,11.71,1.6,4.0,6.38,2.38,-27.39,dinamico,True,git
backend/internal/app/preceptor.go,go,50,13,41.06,CRITICO,16.97,509.13,258.0,1.97,102.7,1.61,7.0,11.3,4.3,31.75,dinamico,True,git
backend/internal/app/classperiod.go,go,48,20,40.71,CRITICO,16.46,493.73,131.7,3.75,6.7,1.63,7.0,11.39,4.39,-30.65,dinamico,True,git
backend/internal/domain/ports_auth.go,go,49,7,42.16,CRITICO,16.09,482.74,120.9,3.99,0.18,1.58,7.0,11.03,4.03,-34.88,dinamico,True,git
backend/internal/app/device_sync.go,go,48,11,41.92,CRITICO,15.88,476.29,122.4,3.89,2.79,1.58,7.0,11.08,4.08,-33.18,dinamico,True,git
frontend/lib/domain/usecases/get_daily_attendance.dart,dart,46,6,43.22,CRITICO,14.62,438.56,129.0,3.4,17.66,1.54,4.0,6.15,2.15,-23.52,dinamico,True,git
backend/internal/app/user.go,go,45,11,42.87,CRITICO,14.46,433.79,115.5,3.76,6.5,1.55,7.0,10.85,3.85,-30.77,dinamico,True,git
backend/internal/app/preceptor_test.go,go,45,8,43.27,CRITICO,14.28,428.34,112.8,3.8,5.34,1.54,7.0,10.76,3.76,-31.53,dinamico,True,git
backend/internal/adapter/postgres/db.go,go,42,12,43.74,CRITICO,13.13,393.85,219.0,1.8,122.42,1.52,7.0,10.65,3.65,44.57,dinamico,True,git
frontend/lib/main.dart,dart,42,6,44.55,CRITICO,12.79,383.67,237.6,1.61,147.71,1.49,4.0,5.98,1.98,61.01,dinamico,True,git
backend/internal/domain/attendance.go,go,41,3,45.3,CRITICO,12.18,365.25,98.7,3.7,8.09,1.47,7.0,10.29,3.29,-29.74,dinamico,True,git
frontend/lib/domain/usecases/get_dashboard_summary.dart,dart,40,3,45.67,CRITICO,11.73,351.96,55.2,6.38,-37.27,1.46,4.0,5.84,1.84,-59.22,dinamico,True,git
frontend/lib/domain/usecases/create_student.dart,dart,39,9,45.23,CRITICO,11.61,348.31,56.7,6.14,-34.89,1.47,4.0,5.89,1.89,-57.68,dinamico,True,git
frontend/lib/infrastructure/repositories/user_repository_impl.dart,dart,39,9,45.23,CRITICO,11.61,348.31,170.1,2.05,95.34,1.47,4.0,5.89,1.89,26.97,dinamico,True,git
backend/internal/domain/timeslot.go,go,40,0,46.07,CRITICO,11.57,347.17,187.2,1.85,115.69,1.45,7.0,10.12,3.12,40.2,dinamico,True,git
backend/internal/app/misc.go,go,39,6,45.63,CRITICO,11.45,343.6,96.6,3.56,12.46,1.46,7.0,10.22,3.22,-26.9,dinamico,True,git
backend/internal/adapter/http/response.go,go,38,9,45.61,CRITICO,11.17,335.06,96.9,3.46,15.68,1.46,7.0,10.23,3.23,-24.81,dinamico,True,git
backend/internal/domain/student.go,go,37,4,46.67,CRITICO,10.48,314.45,180.0,1.75,128.97,1.43,7.0,10.0,3.0,48.83,dinamico,True,git
backend/internal/adapter/postgres/errors.go,go,36,10,46.26,CRITICO,10.34,310.35,184.8,1.68,138.19,1.44,7.0,10.08,3.08,54.82,dinamico,True,git
backend/internal/domain/ports_device.go,go,37,0,47.21,CRITICO,10.28,308.48,86.4,3.57,12.03,1.41,7.0,9.88,2.88,-27.18,dinamico,True,git
backend/internal/app/auth.go,go,32,8,48.26,CRITICO,8.56,256.75,80.1,3.21,24.79,1.38,7.0,9.67,2.67,-18.89,dinamico,True,git
backend/internal/adapter/postgres/workshop_group_repo.go,go,31,7,48.85,CRITICO,8.11,243.16,76.5,3.18,25.84,1.36,7.0,9.55,2.55,-18.2,dinamico,True,git
backend/internal/adapter/http/helpers.go,go,29,9,49.56,CRITICO,7.38,221.33,72.6,3.05,31.21,1.35,7.0,9.42,2.42,-14.71,dinamico,True,git
backend/internal/domain/specialty.go,go,28,1,51.15,APROBADO,6.68,200.35,127.2,1.58,153.96,1.3,7.0,9.12,2.12,65.07,dinamico,True,git
backend/internal/adapter/http/auth_handler.go,go,27,4,51.28,APROBADO,6.41,192.15,63.0,3.05,31.14,1.3,7.0,9.1,2.1,-14.76,dinamico,True,git
frontend/lib/domain/repositories/attendance_repository.dart,dart,25,6,52.13,APROBADO,5.72,171.52,67.2,2.55,56.71,1.28,4.0,5.12,1.12,1.86,dinamico,True,git
frontend/lib/domain/usecases/create_user.dart,dart,24,6,52.73,APROBADO,5.34,160.34,63.6,2.52,58.66,1.26,4.0,5.06,1.06,3.13,dinamico,True,git
frontend/lib/infrastructure/repositories/course_repository_impl.dart,dart,23,6,53.35,APROBADO,4.98,149.38,90.0,1.66,140.99,1.25,4.0,5.0,1.0,56.64,dinamico,True,git
frontend/lib/domain/usecases/get_students.dart,dart,23,5,53.49,APROBADO,4.95,148.42,59.4,2.5,60.09,1.25,4.0,4.99,0.99,4.06,dinamico,True,git
frontend/lib/presentation/widgets/auto_refresh_mixin.dart,dart,22,8,53.73,APROBADO,4.68,140.38,29.1,4.82,-17.08,1.24,4.0,4.97,0.97,-46.1,dinamico,True,git
frontend/lib/domain/repositories/student_repository.dart,dart,21,10,54.14,APROBADO,4.38,131.42,139.5,0.94,324.6,1.23,4.0,4.93,0.93,175.99,dinamico,True,git
frontend/lib/domain/entities/specialty.dart,dart,20,5,55.53,APROBADO,3.89,116.82,24.3,4.81,-16.8,1.2,4.0,4.81,0.81,-45.92,dinamico,True,git
frontend/lib/domain/repositories/user_repository.dart,dart,19,7,56.01,APROBADO,3.61,108.24,69.3,1.56,156.09,1.19,4.0,4.77,0.77,66.46,dinamico,True,git
backend/internal/domain/preceptor.go,go,19,0,56.95,APROBADO,3.43,102.87,73.2,1.41,184.63,1.17,7.0,8.22,1.22,85.01,dinamico,True,git
backend/internal/domain/errors.go,go,16,4,58.93,APROBADO,2.57,77.15,28.8,2.68,49.32,1.14,7.0,7.96,0.96,-2.94,dinamico,True,git
frontend/lib/infrastructure/repositories/time_slot_repository_impl.dart,dart,13,3,62.1,APROBADO,1.68,50.31,10.8,4.66,-14.13,1.09,4.0,4.36,0.36,-44.19,dinamico,True,git
